State,Crimetype,Year,Count
Manipur,Kidnapping and Abduction,2017,142
Meghalaya,Kidnapping and Abduction,2017,148
Mizoram,Kidnapping and Abduction,2017,4
Nagaland,Kidnapping and Abduction,2017,66
Odisha,Kidnapping and Abduction,2017,3349
Punjab,Kidnapping and Abduction,2017,1386
Rajasthan,Kidnapping and Abduction,2017,5216
Sikkim,Kidnapping and Abduction,2017,71
Tamil Nadu,Kidnapping and Abduction,2017,1027
Telangana,Kidnapping and Abduction,2017,1560
Tripura,Kidnapping and Abduction,2017,122
Uttar Pradesh,Kidnapping and Abduction,2017,19921
Uttarakhand,Kidnapping and Abduction,2017,800
West Bengal,Kidnapping and Abduction,2017,5205
A&N Islands,Kidnapping and Abduction,2017,34
Chandigarh,Kidnapping and Abduction,2017,203
D&N Haveli,Kidnapping and Abduction,2017,14
D&N Haveli,Kidnapping and Abduction,2017,14
Delhi UT,Kidnapping and Abduction,2017,6095
Lakshadweep,Kidnapping and Abduction,2017,0
Puducherry,Kidnapping and Abduction,2017,15
Andhra Pradesh,Kidnapping and Abduction,2018,1055
Arunachal Pradesh,Kidnapping and Abduction,2018,135
Assam,Kidnapping and Abduction,2018,8977
Bihar,Kidnapping and Abduction,2018,9935
Chhattisgarh,Kidnapping and Abduction,2018,2443
Goa,Kidnapping and Abduction,2018,105
Gujarat,Kidnapping and Abduction,2018,1996
Haryana,Kidnapping and Abduction,2018,5015
Himachal Pradesh,Kidnapping and Abduction,2018,475
Jammu & Kashmir,Kidnapping and Abduction,2018,1137
Jharkhand,Kidnapping and Abduction,2018,1741
Karnataka,Kidnapping and Abduction,2018,3027
Kerala,Kidnapping and Abduction,2018,297
Madhya Pradesh,Kidnapping and Abduction,2018,8596
Maharashtra,Kidnapping and Abduction,2018,11443
Manipur,Kidnapping and Abduction,2018,142
Meghalaya,Kidnapping and Abduction,2018,148
Mizoram,Kidnapping and Abduction,2018,3
Nagaland,Kidnapping and Abduction,2018,90
Odisha,Kidnapping and Abduction,2018,3972
Punjab,Kidnapping and Abduction,2018,1599
Rajasthan,Kidnapping and Abduction,2018,5809
Sikkim,Kidnapping and Abduction,2018,74
Tamil Nadu,Kidnapping and Abduction,2018,1097
Telangana,Kidnapping and Abduction,2018,1810
Tripura,Kidnapping and Abduction,2018,166
Uttar Pradesh,Kidnapping and Abduction,2018,21711
Uttarakhand,Kidnapping and Abduction,2018,1177
West Bengal,Kidnapping and Abduction,2018,5191
A&N Islands,Kidnapping and Abduction,2018,37
Chandigarh,Kidnapping and Abduction,2018,209
D&N Haveli,Kidnapping and Abduction,2018,6
Daman & Diu,Kidnapping and Abduction,2018,30
Delhi UT,Kidnapping and Abduction,2018,6063
Lakshadweep,Kidnapping and Abduction,2018,0
Puducherry,Kidnapping and Abduction,2018,34
Andhra Pradesh,Kidnapping and Abduction,2019,902
Arunachal Pradesh,Kidnapping and Abduction,2019,117
Assam,Kidnapping and Abduction,2019,9432
Bihar,Kidnapping and Abduction,2019,10707
Chhattisgarh,Kidnapping and Abduction,2019,2638
Goa,Kidnapping and Abduction,2019,71
Gujarat,Kidnapping and Abduction,2019,1813
Haryana,Kidnapping and Abduction,2019,4023
Himachal Pradesh,Kidnapping and Abduction,2019,455
Jammu & Kashmir,Kidnapping and Abduction,2019,961
Jharkhand,Kidnapping and Abduction,2019,1814
Karnataka,Kidnapping and Abduction,2019,3080
Kerala,Kidnapping and Abduction,2019,386
Madhya Pradesh,Kidnapping and Abduction,2019,9812
Maharashtra,Kidnapping and Abduction,2019,11755
Manipur,Kidnapping and Abduction,2019,129
Meghalaya,Kidnapping and Abduction,2019,130
Mizoram,Kidnapping and Abduction,2019,5
Nagaland,Kidnapping and Abduction,2019,64
Odisha,Kidnapping and Abduction,2019,4748
Punjab,Kidnapping and Abduction,2019,1798
Rajasthan,Kidnapping and Abduction,2019,8058
Sikkim,Kidnapping and Abduction,2019,51
Tamil Nadu,Kidnapping and Abduction,2019,898
Telangana,Kidnapping and Abduction,2019,2127
Tripura,Kidnapping and Abduction,2019,166
Uttar Pradesh,Kidnapping and Abduction,2019,16590
Uttarakhand,Kidnapping and Abduction,2019,967
West Bengal,Kidnapping and Abduction,2019,5191
A&N Islands,Kidnapping and Abduction,2019,27
Chandigarh,Kidnapping and Abduction,2019,177
D&N Haveli,Kidnapping and Abduction,2019,9
Daman & Diu,Kidnapping and Abduction,2019,26
Delhi UT,Kidnapping and Abduction,2019,5901
Lakshadweep,Kidnapping and Abduction,2019,0
Puducherry,Kidnapping and Abduction,2019,9
Andhra Pradesh,Kidnapping and Abduction,2020,737
Arunachal Pradesh,Kidnapping and Abduction,2020,78
Assam,Kidnapping and Abduction,2020,6934
Bihar,Kidnapping and Abduction,2020,7889
Chhattisgarh,Kidnapping and Abduction,2020,2008
Goa,Kidnapping and Abduction,2020,45
Gujarat,Kidnapping and Abduction,2020,1198
Haryana,Kidnapping and Abduction,2020,2949
Himachal Pradesh,Kidnapping and Abduction,2020,343
Jharkhand,Kidnapping and Abduction,2020,1564
Karnataka,Kidnapping and Abduction,2020,2253
Kerala,Kidnapping and Abduction,2020,307
Madhya Pradesh,Kidnapping and Abduction,2020,7320
Maharashtra,Kidnapping and Abduction,2020,8103
Manipur,Kidnapping and Abduction,2020,81
Meghalaya,Kidnapping and Abduction,2020,91
Mizoram,Kidnapping and Abduction,2020,3
Nagaland,Kidnapping and Abduction,2020,24
Odisha,Kidnapping and Abduction,2020,4179
Punjab,Kidnapping and Abduction,2020,1399
Rajasthan,Kidnapping and Abduction,2020,6234
Sikkim,Kidnapping and Abduction,2020,32
Tamil Nadu,Kidnapping and Abduction,2020,765
Telangana,Kidnapping and Abduction,2020,2056
Tripura,Kidnapping and Abduction,2020,127
Uttar Pradesh,Kidnapping and Abduction,2020,12913
Uttarakhand,Kidnapping and Abduction,2020,768
West Bengal,Kidnapping and Abduction,2020,9309
A&N Islands,Kidnapping and Abduction,2020,7
Chandigarh,Kidnapping and Abduction,2020,118
D&N Haveli and Daman & Diu,Kidnapping and Abduction,2020,21
Delhi,Kidnapping and Abduction,2020,4062
Jammu & Kashmir,Kidnapping and Abduction,2020,868
Ladakh,Kidnapping and Abduction,2020,0
Lakshadweep,Kidnapping and Abduction,2020,1
Puducherry,Kidnapping and Abduction,2020,19
Andhra Pradesh,Theft and Burglary,2020,12894
Arunachal Pradesh,Theft and Burglary,2020,535
Assam,Theft and Burglary,2020,18891
Bihar,Theft and Burglary,2020,36013
Chhattisgarh,Theft and Burglary,2020,9692
Goa,Theft and Burglary,2020,507
Gujarat,Theft and Burglary,2020,12191
Haryana,Theft and Burglary,2020,27610
Himachal Pradesh,Theft and Burglary,2020,622
Jharkhand,Theft and Burglary,2020,11101
Karnataka,Theft and Burglary,2020,18062
Kerala,Theft and Burglary,2020,4037
Madhya Pradesh,Theft and Burglary,2020,32004
Maharashtra,Theft and Burglary,2020,67744
Manipur,Theft and Burglary,2020,716
Meghalaya,Theft and Burglary,2020,941
Mizoram,Theft and Burglary,2020,1097
Nagaland,Theft and Burglary,2020,457
Odisha,Theft and Burglary,2020,14912
Punjab,Theft and Burglary,2020,9314
Rajasthan,Theft and Burglary,2020,34523
Sikkim,Theft and Burglary,2020,56
Tamil Nadu,Theft and Burglary,2020,16767
Telangana,Theft and Burglary,2020,13432
Tripura,Theft and Burglary,2020,486
Uttar Pradesh,Theft and Burglary,2020,39611
Uttarakhand,Theft and Burglary,2020,1809
West Bengal,Theft and Burglary,2020,9338
A&N Islands,Theft and Burglary,2020,49
Chandigarh,Theft and Burglary,2020,692
D&N Haveli and Daman & Diu,Theft and Burglary,2020,71
Delhi,Theft and Burglary,2020,179638
Jammu & Kashmir,Theft and Burglary,2020,3200
Ladakh,Theft and Burglary,2020,8
Lakshadweep,Theft and Burglary,2020,9
Puducherry,Theft and Burglary,2020,366
Andhra Pradesh,Theft and Burglary,2019,15158
Arunachal Pradesh,Theft and Burglary,2019,652
Assam,Theft and Burglary,2019,21423
Bihar,Theft and Burglary,2019,39570
Chhattisgarh,Theft and Burglary,2019,10898
Goa,Theft and Burglary,2019,639
Gujarat,Theft and Burglary,2019,17815
Haryana,Theft and Burglary,2019,33525
Himachal Pradesh,Theft and Burglary,2019,929
Jammu & Kashmir,Theft and Burglary,2019,3162
Jharkhand,Theft and Burglary,2019,12189
Karnataka,Theft and Burglary,2019,23997
Kerala,Theft and Burglary,2019,5694
Madhya Pradesh,Theft and Burglary,2019,38931
Maharashtra,Theft and Burglary,2019,111030
Manipur,Theft and Burglary,2019,914
Meghalaya,Theft and Burglary,2019,1024
Mizoram,Theft and Burglary,2019,1703
Nagaland,Theft and Burglary,2019,478
Odisha,Theft and Burglary,2019,14915
Punjab,Theft and Burglary,2019,10886
Rajasthan,Theft and Burglary,2019,47997
Sikkim,Theft and Burglary,2019,89
Tamil Nadu,Theft and Burglary,2019,20076
Telangana,Theft and Burglary,2019,17100
Tripura,Theft and Burglary,2019,697
Uttar Pradesh,Theft and Burglary,2019,58506
Uttarakhand,Theft and Burglary,2019,2137
West Bengal,Theft and Burglary,2019,13882
A&N Islands,Theft and Burglary,2019,70
Chandigarh,Theft and Burglary,2019,1033
D&N Haveli,Theft and Burglary,2019,41
Daman & Diu,Theft and Burglary,2019,96
Delhi UT,Theft and Burglary,2019,249011
Lakshadweep,Theft and Burglary,2019,19
Puducherry,Theft and Burglary,2019,527
Andhra Pradesh,Theft and Burglary,2018,14368
Arunachal Pradesh,Theft and Burglary,2018,799
Assam,Theft and Burglary,2018,20307
Bihar,Theft and Burglary,2018,35528
Chhattisgarh,Theft and Burglary,2018,10148
Goa,Theft and Burglary,2018,646
Gujarat,Theft and Burglary,2018,18315
Haryana,Theft and Burglary,2018,36740
Himachal Pradesh,Theft and Burglary,2018,1352
Jammu & Kashmir,Theft and Burglary,2018,3188
Jharkhand,Theft and Burglary,2018,10476
Karnataka,Theft and Burglary,2018,25302
Kerala,Theft and Burglary,2018,6040
Madhya Pradesh,Theft and Burglary,2018,40047
Maharashtra,Theft and Burglary,2018,119768
Manipur,Theft and Burglary,2018,970
Meghalaya,Theft and Burglary,2018,941
Mizoram,Theft and Burglary,2018,1180
Nagaland,Theft and Burglary,2018,498
Odisha,Theft and Burglary,2018,12782
Punjab,Theft and Burglary,2018,10112
Rajasthan,Theft and Burglary,2018,34071
Sikkim,Theft and Burglary,2018,110
Tamil Nadu,Theft and Burglary,2018,22086
Telangana,Theft and Burglary,2018,16201
Tripura,Theft and Burglary,2018,581
Uttar Pradesh,Theft and Burglary,2018,63934
Uttarakhand,Theft and Burglary,2018,2726
West Bengal,Theft and Burglary,2018,13882
A&N Islands,Theft and Burglary,2018,131
Chandigarh,Theft and Burglary,2018,1492
D&N Haveli,Theft and Burglary,2018,44
Daman & Diu,Theft and Burglary,2018,77
Delhi UT,Theft and Burglary,2018,199835
Lakshadweep,Theft and Burglary,2018,8
Puducherry,Theft and Burglary,2018,696
Andhra Pradesh,Theft and Burglary,2017,17689
Arunachal Pradesh,Theft and Burglary,2017,791
Assam,Theft and Burglary,2017,18956
Bihar,Theft and Burglary,2017,31983
Chhattisgarh,Theft and Burglary,2017,10268
Goa,Theft and Burglary,2017,652
Gujarat,Theft and Burglary,2017,19699
Harayana,Theft and Burglary,2017,33711
Himachal Pradesh,Theft and Burglary,2017,1143
Jammu & Kashmir,Theft and Burglary,2017,3209
Jharkhand,Theft and Burglary,2017,10472
Karnataka,Theft and Burglary,2017,27448
Kerala,Theft and Burglary,2017,6224
Madhya Pradesh,Theft and Burglary,2017,41656
Maharashtra,Theft and Burglary,2017,102168
Manipur,Theft and Burglary,2017,875
Meghalaya,Theft and Burglary,2017,1157
Mizoram,Theft and Burglary,2017,1495
Nagaland,Theft and Burglary,2017,467
Odisha,Theft and Burglary,2017,13036
Punjab,Theft and Burglary,2017,9961
Rajasthan,Theft and Burglary,2017,32595
Sikkim,Theft and Burglary,2017,156
Tamil Nadu,Theft and Burglary,2017,20173
Telangana,Theft and Burglary,2017,17334
Tripura,Theft and Burglary,2017,448
Uttar Pradesh,Theft and Burglary,2017,69706
Uttarakhand,Theft and Burglary,2017,2550
West Bengal,Theft and Burglary,2017,17270
A&N Islands,Theft and Burglary,2017,118
Chandigarh,Theft and Burglary,2017,1641
D&N Haveli,Theft and Burglary,2017,62
D&N Haveli,Theft and Burglary,2017,81
Delhi UT,Theft and Burglary,2017,183824
Lakshadweep,Theft and Burglary,2017,21
Puducherry,Theft and Burglary,2017,730
Andhra Pradesh,Theft and Burglary,2016,13856
Arunachal Pradesh,Theft and Burglary,2016,510
Assam,Theft and Burglary,2016,12955
Bihar,Theft and Burglary,2016,22228
Chhattisgarh,Theft and Burglary,2016,5450
Goa,Theft and Burglary,2016,463
Gujarat,Theft and Burglary,2016,13791
Haryana,Theft and Burglary,2016,21741
Himachal Pradesh,Theft and Burglary,2016,480
Jammu & Kashmir,Theft and Burglary,2016,1820
Jharkhand,Theft and Burglary,2016,7285
Karnataka,Theft and Burglary,2016,20687
Kerala,Theft and Burglary,2016,3936
Madhya Pradesh,Theft and Burglary,2016,28663
Maharashtra,Theft and Burglary,2016,59097
Manipur,Theft and Burglary,2016,801
Meghalaya,Theft and Burglary,2016,871
Mizoram,Theft and Burglary,2016,961
Nagaland,Theft and Burglary,2016,478
Odisha,Theft and Burglary,2016,9044
Punjab,Theft and Burglary,2016,5982
Rajasthan,Theft and Burglary,2016,27406
Sikkim,Theft and Burglary,2016,93
Tamil Nadu,Theft and Burglary,2016,12128
Telangana,Theft and Burglary,2016,12634
Tripura,Theft and Burglary,2016,244
Uttar Pradesh,Theft and Burglary,2016,56550
Uttarakhand,Theft and Burglary,2016,1823
West Bengal,Theft and Burglary,2016,19902
A & N Islands,Theft and Burglary,2016,64
Chandigarh,Theft and Burglary,2016,918
D&N Haveli,Theft and Burglary,2016,29
Daman & Diu,Theft and Burglary,2016,42
Delhi UT,Theft and Burglary,2016,130928
Lakshadweep,Theft and Burglary,2016,8
Puducherry,Theft and Burglary,2016,536
